x,y
Autauga County,AL,304, 59
Baldwin County,AL,296, 44
Barbour County,AL,314, 53
Bibb County,AL,300, 62
Blount County,AL,305, 70
Bullock County,AL,312, 55
Butler County,AL,304, 53
Calhoun County,AL,311, 69
Chambers County,AL,314, 62
Cherokee County,AL,313, 72
Chilton County,AL,304, 61
Choctaw County,AL,291, 55
Clarke County,AL,295, 52
Clay County,AL,311, 65
Cleburne County,AL,313, 68
Coffee County,AL,310, 50
Colbert County,AL,295, 76
Conecuh County,AL,302, 50
Coosa County,AL,308, 62
Covington County,AL,306, 48
Crenshaw County,AL,307, 52
Cullman County,AL,303, 72
Dale County,AL,313, 50
Dallas County,AL,301, 57
DeKalb County,AL,311, 74
Elmore County,AL,308, 59
Escambia County,AL,300, 48
Etowah County,AL,309, 71
Fayette County,AL,296, 68
Franklin County,AL,295, 74
Geneva County,AL,311, 47
Greene County,AL,294, 61
Hale County,AL,296, 61
Henry County,AL,316, 51
Houston County,AL,315, 48
Jackson County,AL,310, 77
Jefferson County,AL,302, 67
Lamar County,AL,293, 69
Lauderdale County,AL,296, 78
Lawrence County,AL,299, 75
Lee County,AL,315, 59
Limestone County,AL,302, 77
Lowndes County,AL,304, 56
Macon County,AL,312, 58
Madison County,AL,305, 77
Marengo County,AL,295, 56
Marion County,AL,294, 72
Marshall County,AL,307, 73
Mobile County,AL,292, 45
Monroe County,AL,299, 51
Montgomery County,AL,308, 56
Morgan County,AL,303, 74
Perry County,AL,299, 60
Pickens County,AL,293, 65
Pike County,AL,310, 53
Randolph County,AL,314, 65
Russell County,AL,316, 57
Saint Clair County,AL,307, 68
Shelby County,AL,304, 65
Sumter County,AL,292, 59
Talladega County,AL,308, 66
Tallapoosa County,AL,311, 61
Tuscaloosa County,AL,297, 65
Walker County,AL,299, 69
Washington County,AL,292, 50
Wilcox County,AL,299, 54
Winston County,AL,299, 72
Apache County,AZ,122, 82
Cochise County,AZ,119, 54
Coconino County,AZ,103, 85
Gila County,AZ,111, 69
Graham County,AZ,118, 62
Greenlee County,AZ,124, 64
La Paz County,AZ, 86, 68
Maricopa County,AZ, 98, 65
Mohave County,AZ, 87, 84
Navajo County,AZ,115, 82
Pima County,AZ,103, 55
Pinal County,AZ,107, 62
Santa Cruz County,AZ,111, 51
Yavapai County,AZ, 97, 75
Yuma County,AZ, 86, 61
Arkansas County,AR,267, 73
Ashley County,AR,263, 64
Baxter County,AR,259, 89
Benton County,AR,243, 89
Boone County,AR,253, 89
Bradley County,AR,260, 66
Calhoun County,AR,257, 67
Carroll County,AR,249, 89
Chicot County,AR,267, 65
Clark County,AR,252, 71
Clay County,AR,274, 89
Cleburne County,AR,261, 83
Cleveland County,AR,260, 70
Columbia County,AR,252, 64
Conway County,AR,256, 81
Craighead County,AR,272, 85
Crawford County,AR,244, 83
Crittenden County,AR,275, 80
Cross County,AR,271, 81
Dallas County,AR,256, 70
Desha County,AR,267, 69
Drew County,AR,264, 67
Faulkner County,AR,259, 80
Franklin County,AR,246, 83
Fulton County,AR,263, 90
Garland County,AR,252, 75
Grant County,AR,258, 73
Greene County,AR,273, 87
Hempstead County,AR,248, 68
Hot Spring County,AR,254, 73
Howard County,AR,246, 71
Independence County,AR,265, 84
Izard County,AR,262, 87
Jackson County,AR,268, 83
Jefferson County,AR,262, 73
Johnson County,AR,250, 83
Lafayette County,AR,249, 64
Lawrence County,AR,269, 87
Lee County,AR,271, 77
Lincoln County,AR,264, 70
Little River County,AR,244, 68
Logan County,AR,248, 80
Lonoke County,AR,262, 77
Madison County,AR,248, 87
Marion County,AR,256, 89
Miller County,AR,246, 65
Mississippi County,AR,277, 85
Monroe County,AR,268, 76
Montgomery County,AR,248, 75
Nevada County,AR,251, 68
Newton County,AR,252, 86
Ouachita County,AR,254, 67
Perry County,AR,254, 78
Phillips County,AR,271, 74
Pike County,AR,248, 72
Poinsett County,AR,272, 83
Polk County,AR,244, 74
Pope County,AR,253, 82
Prairie County,AR,265, 77
Pulaski County,AR,259, 77
Randolph County,AR,269, 89
Saint Francis County,AR,272, 79
Saline County,AR,256, 76
Scott County,AR,245, 77
Searcy County,AR,256, 86
Sebastian County,AR,243, 80
Sevier County,AR,244, 70
Sharp County,AR,266, 88
Stone County,AR,260, 85
Union County,AR,257, 64
Van Buren County,AR,257, 83
Washington County,AR,244, 86
White County,AR,264, 81
Woodruff County,AR,268, 80
Yell County,AR,250, 79
Alameda County,CA, 22,100
Alpine County,CA, 39,107
Amador County,CA, 32,106
Butte County,CA, 25,116
Calaveras County,CA, 33,104
Colusa County,CA, 20,112
Contra Costa County,CA, 22,102
