County, State, Y, X
Autauga County,AL, 59,304
Baldwin County,AL, 44,296
Barbour County,AL, 53,314
Bibb County,AL, 62,300
Blount County,AL, 70,305
Bullock County,AL, 55,312
Butler County,AL, 53,304
Calhoun County,AL, 69,311
Chambers County,AL, 62,314
Cherokee County,AL, 72,313
Chilton County,AL, 61,304
Choctaw County,AL, 55,291
Clarke County,AL, 52,295
Clay County,AL, 65,311
Cleburne County,AL, 68,313
Coffee County,AL, 50,310
Colbert County,AL, 76,295
Conecuh County,AL, 50,302
Coosa County,AL, 62,308
Covington County,AL, 48,306
Crenshaw County,AL, 52,307
Cullman County,AL, 72,303
Dale County,AL, 50,313
Dallas County,AL, 57,301
DeKalb County,AL, 74,311
Elmore County,AL, 59,308
Escambia County,AL, 48,300
Etowah County,AL, 71,309
Fayette County,AL, 68,296
Franklin County,AL, 74,295
Geneva County,AL, 47,311
Greene County,AL, 61,294
Hale County,AL, 61,296
Henry County,AL, 51,316
Houston County,AL, 48,315
Jackson County,AL, 77,310
Jefferson County,AL, 67,302
Lamar County,AL, 69,293
Lauderdale County,AL, 78,296
Lawrence County,AL, 75,299
Lee County,AL, 59,315
Limestone County,AL, 77,302
Lowndes County,AL, 56,304
Macon County,AL, 58,312
Madison County,AL, 77,305
Marengo County,AL, 56,295
Marion County,AL, 72,294
Marshall County,AL, 73,307
Mobile County,AL, 45,292
Monroe County,AL, 51,299
Montgomery County,AL, 56,308
Morgan County,AL, 74,303
Perry County,AL, 60,299
Pickens County,AL, 65,293
Pike County,AL, 53,310
Randolph County,AL, 65,314
Russell County,AL, 57,316
Saint Clair County,AL, 68,307
Shelby County,AL, 65,304
Sumter County,AL, 59,292
Talladega County,AL, 66,308
Tallapoosa County,AL, 61,311
Tuscaloosa County,AL, 65,297
Walker County,AL, 69,299
Washington County,AL, 50,292
Wilcox County,AL, 54,299
Winston County,AL, 72,299
Apache County,AZ, 82,122
Cochise County,AZ, 54,119
Coconino County,AZ, 85,103
Gila County,AZ, 69,111
Graham County,AZ, 62,118
Greenlee County,AZ, 64,124
La Paz County,AZ, 68, 86
Maricopa County,AZ, 65, 98
Mohave County,AZ, 84, 87
Navajo County,AZ, 82,115
Pima County,AZ, 55,103
Pinal County,AZ, 62,107
Santa Cruz County,AZ, 51,111
Yavapai County,AZ, 75, 97
Yuma County,AZ, 61, 86
Arkansas County,AR, 73,267
Ashley County,AR, 64,263
Baxter County,AR, 89,259
Benton County,AR, 89,243
Boone County,AR, 89,253
Bradley County,AR, 66,260
Calhoun County,AR, 67,257
Carroll County,AR, 89,249
Chicot County,AR, 65,267
Clark County,AR, 71,252
Clay County,AR, 89,274
Cleburne County,AR, 83,261
Cleveland County,AR, 70,260
Columbia County,AR, 64,252
Conway County,AR, 81,256
Craighead County,AR, 85,272
Crawford County,AR, 83,244
Crittenden County,AR, 80,275
Cross County,AR, 81,271
Dallas County,AR, 70,256
Desha County,AR, 69,267
Drew County,AR, 67,264
Faulkner County,AR, 80,259
Franklin County,AR, 83,246
Fulton County,AR, 90,263
Garland County,AR, 75,252
Grant County,AR, 73,258
Greene County,AR, 87,273
Hempstead County,AR, 68,248
Hot Spring County,AR, 73,254
Howard County,AR, 71,246
Independence County,AR, 84,265
Izard County,AR, 87,262
Jackson County,AR, 83,268
Jefferson County,AR, 73,262
Johnson County,AR, 83,250
Lafayette County,AR, 64,249
Lawrence County,AR, 87,269
Lee County,AR, 77,271
