USC00010008,31.5703,-85.2483,139.0,AL,ABBEVILLE,5.30,5.07,5.80,3.77,3.82,5.20,5.94,4.63,3.53,3.11,4.61,4.73
USC00010140,32.2322,-87.4103,53.3,AL,ALBERTA,5.01,5.30,5.64,4.12,3.92,4.36,4.95,4.22,3.47,3.41,4.93,4.98
USC00010160,32.9453,-85.9481,195.1,AL,ALEXANDER CITY,5.21,5.35,5.49,4.11,4.33,4.45,5.31,4.50,4.10,3.08,4.79,4.90
USC00010184,33.21,-88.2878,50.3,AL,ALICEVILLE L&D,5.25,5.34,4.72,4.91,4.32,4.53,4.00,3.55,3.25,3.61,4.79,4.87
USC00010505,33.4528,-87.3572,85.3,AL,BANKHEAD LOCK & DAM,5.99,5.68,5.69,4.58,4.67,5.07,5.57,4.05,4.01,4.15,5.17,5.21
USC00010583,30.8839,-87.7853,82.6,AL,BAY MINETTE,5.97,5.38,5.66,4.75,5.81,6.46,8.14,6.44,5.82,3.76,5.20,5.51
USC00010764,33.3953,-87.0078,135.6,AL,BESSEMER 3 WSW,5.53,5.15,5.61,4.62,5.04,4.51,5.07,3.72,3.85,3.74,5.08,5.20
USC00011080,31.1414,-87.0486,48.8,AL,BREWTON 3 ENE,6.39,5.84,6.76,5.11,5.12,6.53,7.46,6.65,5.67,4.15,5.50,5.55
USC00011084,31.0581,-87.0547,25.9,AL,BREWTON 3 SSE,5.90,5.47,6.26,4.61,4.97,6.04,6.77,6.39,5.63,3.65,5.34,4.82
USC00011620,33.285,-86.3431,127.4,AL,CHILDERSBURG WTR PL,5.18,5.69,5.11,4.37,4.37,4.31,4.24,3.55,3.86,3.35,4.66,4.78
USC00011810,31.7556,-88.1283,14.0,AL,COFFEEVILLE L&D,5.42,4.61,5.19,3.84,4.66,4.72,4.64,4.04,3.39,3.12,4.60,4.71
USC00012245,32.5192,-87.88,30.5,AL,DEMOPOLIS L&D,5.44,5.37,5.04,4.45,4.13,4.14,4.68,4.60,3.69,3.54,4.62,4.82
USC00012758,31.445,-86.9533,88.4,AL,EVERGREEN,5.67,5.33,6.14,4.46,4.52,5.52,6.51,5.07,4.31,3.55,4.88,5.06
USC00012813,30.5467,-87.8808,7.0,AL,FAIRHOPE 2 NE,5.64,5.56,5.73,4.44,4.91,6.60,8.05,7.20,5.94,4.25,4.98,4.57
USC00013160,32.8347,-88.1342,38.1,AL,GAINESVILLE LOCK,5.12,5.34,5.35,4.54,4.07,4.14,4.46,3.41,3.25,3.81,4.61,4.56
USC00013251,31.0383,-85.8708,44.2,AL,GENEVA #2,5.49,5.31,6.19,4.08,3.68,5.79,5.80,5.03,4.25,3.52,5.24,4.73
USC00013511,32.7019,-87.5817,67.1,AL,GREENSBORO,5.20,5.59,4.91,4.64,4.57,3.74,4.51,3.70,3.96,3.37,4.59,4.70
USC00013519,31.79,-86.6086,104.2,AL,GREENVILLE,5.27,4.86,6.10,3.97,3.94,5.00,5.79,4.76,4.17,3.64,5.20,4.66
USC00013645,34.0967,-87.9914,132.6,AL,HAMILTON 3 S,5.26,5.49,4.80,5.17,6.30,4.95,4.75,4.01,3.88,3.83,5.20,6.08
USC00013761,31.3625,-85.3397,112.8,AL,HEADLAND,5.23,5.01,5.41,3.63,3.35,4.96,5.84,4.23,4.19,3.40,4.17,4.35
USC00013775,33.6483,-85.6006,259.1,AL,HEFLIN,5.09,5.76,5.32,4.42,4.95,4.31,5.50,3.55,3.27,3.45,4.71,4.72
USC00013930,33.2533,-87.45,59.4,AL,HOLT LOCK & DAM,5.00,5.15,4.64,3.87,4.02,4.40,4.23,3.61,3.24,3.31,4.64,4.35
USC00014274,32.3236,-86.7828,44.5,AL,JONES BLUFF L&D,4.99,4.98,5.83,3.80,3.68,3.87,5.13,3.54,3.81,2.86,4.68,4.74
USC00015121,32.4714,-87.2314,61.0,AL,MARION JUNCTION 2 NE,5.16,5.19,5.08,4.33,3.62,4.43,5.20,4.07,3.79,3.07,4.75,4.98
USC00015420,32.1003,-87.3983,35.1,AL,MILLERS FERRY L&D,5.07,5.18,5.22,3.78,3.70,4.00,4.55,3.65,3.26,2.90,4.57,4.86
USC00015635,34.4883,-87.2989,189.6,AL,MOULTON 2,5.18,5.28,5.11,4.61,5.65,4.40,4.34,3.66,3.86,3.92,5.12,6.03
USC00016246,33.745,-86.6417,220.1,AL,PALMERDALE,5.10,5.19,5.33,4.56,4.96,4.93,5.05,3.53,4.27,3.66,4.93,4.74
USC00016436,31.8817,-86.9861,80.8,AL,PINE APPLE,5.41,5.12,5.99,4.25,3.95,4.43,5.15,4.05,4.06,3.56,5.13,5.02
USC00016478,33.6906,-86.685,185.3,AL,PINSON,4.97,4.96,5.42,4.54,4.91,4.31,4.62,3.68,3.65,3.42,4.97,4.64
USC00016847,33.3753,-88.02,72.5,AL,REFORM,5.69,5.76,5.17,4.79,4.32,4.73,4.71,3.94,3.44,3.85,5.19,5.13
USC00017366,32.4111,-87.0144,44.8,AL,SELMA,4.75,5.03,5.47,3.93,3.26,4.07,4.72,4.42,3.32,2.68,4.55,4.89
USC00017999,33.2053,-86.2114,149.4,AL,SYLACAUGA 4 NE,4.88,5.51,5.31,4.31,4.26,4.25,4.85,3.79,3.97,3.47,4.80,4.85
USC00018038,32.4392,-86.2025,53.9,AL,TALLAPOOSA WTP,4.13,4.81,5.21,3.81,3.55,4.20,4.30,3.56,2.94,2.66,3.95,4.40
USC00018178,31.9172,-87.7347,118.9,AL,THOMASVILLE,5.58,5.10,5.82,4.03,4.43,4.62,6.12,3.96,4.14,3.54,5.24,5.23
USC00018380,33.2119,-87.6161,51.5,AL,TUSCALOOSA ACFD,5.37,5.61,4.84,4.32,4.14,4.50,5.10,3.76,3.56,3.80,5.21,4.74
USC00018385,33.2097,-87.5936,46.3,AL,TUSCALOOSA OLIVER DAM,5.17,5.31,4.70,4.25,4.11,4.55,4.19,3.76,3.20,3.65,4.56,4.40
USC00018438,32.0142,-85.7464,134.1,AL,UNION SPRINGS 9 S,4.81,4.60,6.05,3.95,4.08,5.22,5.32,4.48,4.12,3.06,5.06,4.67
USC00018469,34.5667,-85.6128,323.7,AL,VALLEY HEAD,5.44,5.53,5.04,4.54,4.65,4.13,5.22,3.52,4.42,3.43,4.99,5.06
USC00018673,32.7744,-87.8306,33.5,AL,WARRIOR L&D,5.62,5.65,5.39,4.96,4.26,4.07,5.17,4.02,3.55,3.56,4.92,4.85
USC00018809,33.1186,-87.1267,152.4,AL,WEST BLOCTON,5.59,5.79,5.42,4.38,4.52,4.93,5.02,3.76,4.58,3.61,5.33,4.99
USC00018859,32.5906,-86.2103,78.3,AL,WETUMPKA,4.45,5.27,5.66,3.88,3.37,4.22,4.93,4.30,3.37,2.90,4.20,4.74
USC00018998,33.9111,-87.8475,142.6,AL,WINFIELD 2 SW,5.57,5.82,5.23,5.16,5.55,5.33,4.44,4.01,3.64,4.08,5.33,6.10
USC00020100,34.2281,-113.578,393.2,AZ,ALAMO DAM,1.03,1.20,0.85,0.26,0.10,0.07,0.64,1.74,0.87,0.66,0.73,0.67
USC00020808,33.4783,-109.752,1848.6,AZ,BLACK RIVER PUMPS,1.94,1.67,1.56,0.72,0.58,0.52,3.65,3.40,2.02,1.41,1.14,1.66
USC00020949,33.9431,-114.024,281.9,AZ,BOUSE,0.68,0.79,0.56,0.20,0.11,0.03,0.44,0.95,0.58,0.40,0.39,0.61
USC00020958,32.325,-109.492,1151.2,AZ,BOWIE,1.07,0.86,0.59,0.29,0.40,0.40,2.24,2.13,1.02,1.14,0.79,1.17
USC00021050,35.1411,-114.569,161.8,AZ,BULLHEAD CITY,0.95,1.05,0.78,0.18,0.05,0.02,0.27,0.77,0.34,0.54,0.43,0.60
USC00021314,32.9947,-111.537,432.5,AZ,CASA GRANDE NM,0.98,1.04,1.07,0.35,0.23,0.05,1.10,1.28,0.75,0.63,0.61,1.09
USC00021330,32.3222,-110.415,973.5,AZ,CASCABEL,1.18,1.16,0.90,0.36,0.31,0.30,2.66,2.88,1.30,0.99,0.68,1.18
USC00021920,36.9936,-112.972,1524.3,AZ,COLORADO CITY,1.24,1.65,1.61,1.10,0.54,0.34,1.28,1.60,1.20,1.20,1.07,1.17
USC00022109,34.305,-112.165,1149.4,AZ,CORDES,1.75,1.89,1.49,0.58,0.42,0.19,1.88,2.37,1.94,1.10,1.20,1.53
USC00022754,32.7481,-109.121,1115.6,AZ,DUNCAN,0.94,0.91,0.57,0.26,0.36,0.38,2.20,2.18,1.10,1.02,0.74,1.15
USC00023150,33.0094,-109.985,864.1,AZ,FT THOMAS 2 SW,0.98,1.11,0.83,0.35,0.39,0.15,1.55,1.53,1.04,0.92,0.62,1.00
USC00023190,33.6028,-111.713,481.6,AZ,FOUNTAIN HILLS,1.53,1.40,1.56,0.44,0.20,0.06,1.13,1.30,0.96,0.81,0.90,1.35
USC00023393,32.9481,-112.713,224.0,AZ,GILA BEND,0.71,0.96,0.71,0.22,0.20,0.01,0.80,1.21,0.47,0.34,0.61,0.79
USC00023448,34.1111,-111.276,883.9,AZ,GISELA,2.20,1.97,1.85,0.65,0.38,0.17,1.83,2.36,1.61,1.28,1.45,1.80
USC00024182,33.9825,-111.714,615.7,AZ,HORSESHOE DAM,1.90,1.88,1.66,0.56,0.25,0.15,1.40,1.70,1.19,1.16,1.03,1.54
USC00024702,33.2742,-113.965,541.0,AZ,KOFA MINE,0.88,0.77,0.59,0.20,0.12,0.05,0.75,1.06,0.76,0.41,0.51,0.70
USC00024829,33.3369,-112.147,345.9,AZ,LAVEEN 3 SSE,0.84,1.02,0.97,0.25,0.14,0.06,1.29,0.99,0.68,0.70,0.67,0.89
USC00025270,33.1139,-112.03,353.6,AZ,MARICOPA 4 N,0.83,0.88,1.00,0.28,0.17,0.08,0.98,0.96,0.72,0.47,0.58,0.97
USC00025412,34.1142,-109.859,2237.2,AZ,MC NARY 2N,2.45,2.16,2.38,1.19,0.66,0.64,3.45,4.37,2.56,1.99,1.84,2.57
USC00025418,31.6017,-109.669,1271.0,AZ,MC NEAL,0.78,0.64,0.46,0.24,0.27,0.36,2.27,3.17,1.13,0.89,0.63,0.96
USC00025635,34.6106,-111.838,969.3,AZ,MONTEZUMA CASTLE NM,1.32,1.37,1.33,0.64,0.42,0.28,1.81,2.18,1.72,1.06,0.95,1.27
USC00025924,31.4553,-110.968,1054.9,AZ,NOGALES 6 N,1.25,0.97,0.87,0.55,0.27,0.58,4.14,4.43,1.60,1.36,0.60,1.43
USC00026119,32.6025,-110.734,1374.6,AZ,ORACLE 2 SE,2.43,2.43,2.20,0.90,0.50,0.34,3.51,4.15,1.95,1.42,1.43,2.21
USC00026282,31.5481,-110.752,1277.1,AZ,PATAGONIA #2,1.34,1.17,0.97,0.58,0.26,0.44,4.48,4.27,1.53,1.13,0.82,1.46
USC00026471,36.1383,-112.096,771.1,AZ,PHANTOM RANCH,0.94,0.98,0.94,0.61,0.37,0.19,0.83,1.62,1.00,0.99,0.76,0.83
USC00026601,34.1242,-109.922,2194.6,AZ,PINETOP 2E,2.44,2.26,2.31,1.16,0.75,0.68,3.24,4.10,2.35,1.90,1.82,2.62
USC00026796,34.5706,-112.432,1586.5,AZ,PRESCOTT,1.59,1.79,1.69,0.78,0.49,0.30,2.71,3.09,1.95,1.02,1.08,1.46
USC00027036,32.3903,-110.467,896.1,AZ,REDINGTON,1.36,1.33,1.12,0.45,0.36,0.22,3.04,2.52,1.35,1.17,0.74,1.34
USC00027281,33.6731,-111.151,672.1,AZ,ROOSEVELT 1 WNW,2.21,1.93,2.05,0.56,0.42,0.08,1.57,1.95,1.33,1.12,1.28,1.98
USC00027334,31.7561,-109.413,1636.8,AZ,RUCKER CANYON,1.37,1.22,0.96,0.43,0.49,1.06,4.57,4.02,1.54,1.34,1.15,1.80
USC00027390,32.815,-109.681,900.4,AZ,SAFFORD AGRICULTRL CTR,0.76,0.75,0.62,0.29,0.25,0.29,1.50,1.91,1.02,0.87,0.54,0.87
USC00027530,32.6014,-110.634,1054.6,AZ,SAN MANUEL,1.19,1.26,0.99,0.40,0.39,0.25,2.55,3.04,1.26,0.90,0.69,1.11
USC00027708,34.8956,-111.764,1286.3,AZ,SEDONA,2.07,2.03,2.23,1.09,0.58,0.27,1.53,2.13,2.01,1.52,1.33,1.71
USC00027716,35.3322,-112.88,1600.2,AZ,SELIGMAN,1.12,1.14,1.08,0.55,0.34,0.31,1.83,2.18,1.37,1.11,0.87,0.89
USC00027855,34.2639,-110.007,1954.1,AZ,SHOW LOW AP,1.17,1.08,1.10,0.69,0.59,0.44,2.38,3.35,1.59,1.42,1.32,1.51
USC00028012,34.5081,-110.084,1719.7,AZ,SNOWFLAKE,0.77,0.73,0.80,0.45,0.39,0.31,2.17,2.28,1.48,0.96,0.81,0.97
USC00028214,33.5575,-111.536,433.4,AZ,STEWART MOUNTAIN,1.81,1.50,1.73,0.52,0.23,0.06,1.24,1.69,1.01,0.88,1.06,1.61
USC00028396,32.7225,-113.919,98.8,AZ,TACNA 3 NE,0.46,0.53,0.42,0.15,0.09,0.02,0.45,0.62,0.36,0.21,0.33,0.46
USC00028499,33.4258,-111.922,355.7,AZ,TEMPE ASU,1.08,1.16,1.11,0.28,0.14,0.03,1.06,1.36,0.68,0.64,0.69,1.10
USC00028598,33.4519,-112.243,312.4,AZ,TOLLESON 1 E,1.29,1.25,1.07,0.33,0.13,0.09,1.06,1.18,0.73,0.57,0.73,1.03
USC00028619,31.7119,-110.069,1420.1,AZ,TOMBSTONE,1.01,0.77,0.73,0.32,0.28,0.61,2.98,3.17,1.60,0.98,0.64,1.05
