code,lat,lon,state,name,x,y
USC00010008,31.5703,-85.2483,139,AL,ABBEVILLE,316,51
USC00010140,32.2322,-87.4103,53.3,AL,ALBERTA,298,56
USC00010160,32.9453,-85.9481,195.1,AL,ALEXANDER CITY,310,62
USC00010184,33.21,-88.2878,50.3,AL,ALICEVILLE L&D,291,64
USC00010505,33.4528,-87.3572,85.3,AL,BANKHEAD LOCK & DAM,299,66
USC00010583,30.8839,-87.7853,82.6,AL,BAY MINETTE,295,46
USC00010764,33.3953,-87.0078,135.6,AL,BESSEMER 3 WSW,301,66
USC00011080,31.1414,-87.0486,48.8,AL,BREWTON 3 ENE,301,48
USC00011084,31.0581,-87.0547,25.9,AL,BREWTON 3 SSE,301,47
USC00011620,33.285,-86.3431,127.4,AL,CHILDERSBURG WTR PL,307,65
USC00011810,31.7556,-88.1283,14,AL,COFFEEVILLE L&D,292,53
USC00012245,32.5192,-87.88,30.5,AL,DEMOPOLIS L&D,294,59
USC00012758,31.445,-86.9533,88.4,AL,EVERGREEN,302,50
USC00012813,30.5467,-87.8808,7,AL,FAIRHOPE 2 NE,295,43
USC00013160,32.8347,-88.1342,38.1,AL,GAINESVILLE LOCK,292,61
USC00013251,31.0383,-85.8708,44.2,AL,GENEVA 2,311,47
USC00013511,32.7019,-87.5817,67.1,AL,GREENSBORO,297,60
USC00013519,31.79,-86.6086,104.2,AL,GREENVILLE,305,53
USC00013645,34.0967,-87.9914,132.6,AL,HAMILTON 3 S,294,71
USC00013761,31.3625,-85.3397,112.8,AL,HEADLAND,315,49
USC00013775,33.6483,-85.6006,259.1,AL,HEFLIN,313,68
USC00013930,33.2533,-87.45,59.4,AL,HOLT LOCK & DAM,298,65
USC00014274,32.3236,-86.7828,44.5,AL,JONES BLUFF L&D,303,57
USC00015121,32.4714,-87.2314,61,AL,MARION JUNCTION 2 NE,300,58
USC00015420,32.1003,-87.3983,35.1,AL,MILLERS FERRY L&D,298,55
USC00015635,34.4883,-87.2989,189.6,AL,MOULTON 2,299,74
USC00016246,33.745,-86.6417,220.1,AL,PALMERDALE,304,68
USC00016436,31.8817,-86.9861,80.8,AL,PINE APPLE,302,54
USC00016478,33.6906,-86.685,185.3,AL,PINSON,304,68
USC00016847,33.3753,-88.02,72.5,AL,REFORM,293,66
USC00017366,32.4111,-87.0144,44.8,AL,SELMA,301,58
USC00017999,33.2053,-86.2114,149.4,AL,SYLACAUGA 4 NE,308,64
USC00018038,32.4392,-86.2025,53.9,AL,TALLAPOOSA WTP,308,58
USC00018178,31.9172,-87.7347,118.9,AL,THOMASVILLE,296,54
USC00018380,33.2119,-87.6161,51.5,AL,TUSCALOOSA ACFD,297,64
USC00018385,33.2097,-87.5936,46.3,AL,TUSCALOOSA OLIVER DAM,297,64
USC00018438,32.0142,-85.7464,134.1,AL,UNION SPRINGS 9 S,312,55
USC00018469,34.5667,-85.6128,323.7,AL,VALLEY HEAD,313,75
USC00018673,32.7744,-87.8306,33.5,AL,WARRIOR L&D,295,61
USC00018809,33.1186,-87.1267,152.4,AL,WEST BLOCTON,300,63
USC00018859,32.5906,-86.2103,78.3,AL,WETUMPKA,308,59
USC00018998,33.9111,-87.8475,142.6,AL,WINFIELD 2 SW,295,70
USC00020100,34.2281,-113.578,393.2,AZ,ALAMO DAM,89,72
USC00020808,33.4783,-109.752,1848.6,AZ,BLACK RIVER PUMPS,119,66
USC00020949,33.9431,-114.024,281.9,AZ,BOUSE,85,70
