code,lat,lon,elev,state,name,x,y
USC00010160,32.9453,-85.9481,195.1,AL,ALEXANDER CITY,310,62
USC00010402,31.1819,-87.4389,91.4,AL,ATMORE,298,48
USC00010583,30.8839,-87.7853,82.6,AL,BAY MINETTE,295,46
USC00010655,34.6908,-86.8825,182.9,AL,BELLE MINA 2 N,302,76
USC00010764,33.3953,-87.0078,135.6,AL,BESSEMER 3 WSW,301,66
USC00011080,31.1414,-87.0486,48.8,AL,BREWTON 3 ENE,301,48
USC00011099,34.9786,-85.8008,204.2,AL,BRIDGEPORT 5 NW,311,78
USC00011620,33.285,-86.3431,127.4,AL,CHILDERSBURG WTR PL,307,65
USC00012172,30.2506,-88.0775,2.4,AL,DAUPHIN ISLAND 2,292,42
USC00012813,30.5467,-87.8808,7,AL,FAIRHOPE 2 NE,295,43
USC00013154,34.0219,-85.9878,172.2,AL,GADSDEN,310,71
USC00013160,32.8347,-88.1342,38.1,AL,GAINESVILLE LOCK,292,61
USC00013519,31.79,-86.6086,104.2,AL,GREENVILLE,305,53
USC00013620,34.2314,-87.6353,280.4,AL,HALEYVILLE,296,72
USC00013645,34.0967,-87.9914,132.6,AL,HAMILTON 3 S,294,71
USC00013816,31.8814,-86.2503,132,AL,HIGHLAND HOME,307,54
USC00015635,34.4883,-87.2989,189.6,AL,MOULTON 2,299,74
USC00016478,33.6906,-86.685,185.3,AL,PINSON,304,68
USC00016988,30.5653,-87.7017,49.1,AL,ROBERTSDALE,296,43
USC00017207,34.2878,-85.9681,362.7,AL,SAND MT SUBSTN,310,73
USC00017999,33.2053,-86.2114,149.4,AL,SYLACAUGA 4 NE,308,64
USC00018024,33.4164,-86.135,136.6,AL,TALLADEGA,308,66
USC00018178,31.9172,-87.7347,118.9,AL,THOMASVILLE,296,54
USC00018209,32.9206,-86.6708,207.3,AL,THORSBY EXP STN,304,62
USC00018380,33.2119,-87.6161,51.5,AL,TUSCALOOSA ACFD,297,64
USC00018438,32.0142,-85.7464,134.1,AL,UNION SPRINGS 9 S,312,55
USC00018469,34.5667,-85.6128,323.7,AL,VALLEY HEAD,313,75
USC00020100,34.2281,-113.578,393.2,AZ,ALAMO DAM,89,72
USC00020287,31.9792,-111.383,838.2,AZ,ANVIL RCH,106,54
USC00020750,36.6778,-110.541,2220.8,AZ,BETATAKIN,113,92
USC00020949,33.9431,-114.024,281.9,AZ,BOUSE,85,70
USC00020958,32.325,-109.492,1151.2,AZ,BOWIE,122,57
